this is a test with speed 1
timestamp,angle(Radians),position(inches),speed(percentage)
21:11:03.518250,3.638602,11.781250,1.000000
this is a test with speed 2
timestamp,angle(Radians),position(inches),speed(percentage)
21:11:10.747827,3.141593,0.000000,2.000000
21:11:10.951560,3.141593,0.000000,2.000000
21:11:11.155652,3.141593,0.000000,2.000000
21:11:11.359968,3.141593,0.000000,2.000000
21:11:11.564011,3.196816,10.648438,2.000000
this is a test with speed 1
timestamp,angle(Radians),position(inches),speed(percentage)
21:21:23.365529,3.061826,-12.347656,1.000000
21:21:23.569516,3.061826,-12.347656,1.000000
21:21:23.774907,3.061826,-12.291016,1.000000
21:21:23.978789,3.074097,-12.234375,1.000000
21:21:24.182513,3.098641,-11.951172,1.000000
21:21:24.387526,3.172272,-11.328125,1.000000
21:21:24.593523,3.190680,-10.535156,1.000000
21:21:24.797276,3.135457,-9.628906,1.000000
21:21:25.000997,3.092505,-8.666016,1.000000
21:21:25.204894,3.123185,-7.589844,1.000000
21:21:25.409312,3.178408,-6.457031,1.000000
21:21:25.613246,3.178408,-5.494141,1.000000
21:21:25.816969,3.129321,-4.248047,1.000000
21:21:26.020770,3.098641,-2.888672,1.000000
21:21:26.224634,3.117049,-1.642578,1.000000
21:21:26.428394,3.160000,-0.453125,1.000000
21:21:26.632123,3.160000,0.623047,1.000000
21:21:26.836130,3.129321,1.416016,1.000000
21:21:27.041016,3.123185,2.322266,1.000000
21:21:27.245016,3.153864,3.398438,1.000000
21:21:27.448770,3.172272,4.757812,1.000000
21:21:27.652601,3.147729,6.003906,1.000000
21:21:27.857510,3.123185,7.250000,1.000000
21:21:28.061582,3.129321,8.212891,1.000000
21:21:28.265318,3.153864,9.062500,1.000000
21:21:28.469456,3.160000,9.798828,1.000000
21:21:28.674342,3.166136,10.931641,1.000000
this is a test with speed 2
timestamp,angle(Radians),position(inches),speed(percentage)
21:21:40.385974,3.123185,-11.328125,2.000000
21:21:40.589873,3.153864,-11.328125,2.000000
21:21:40.793628,3.153864,-11.328125,2.000000
21:21:40.997389,3.123185,-11.271484,2.000000
21:21:41.201337,3.123185,-11.101562,2.000000
21:21:41.405074,3.160000,-10.478516,2.000000
21:21:41.608862,3.172272,-9.685547,2.000000
21:21:41.812892,3.147729,-8.496094,2.000000
21:21:42.017833,3.123185,-7.250000,2.000000
21:21:42.226387,3.123185,-6.117188,2.000000
21:21:42.430203,3.141593,-5.041016,2.000000
21:21:42.634253,3.153864,-3.908203,2.000000
21:21:42.838705,3.147729,-2.605469,2.000000
21:21:43.042663,3.135457,-1.189453,2.000000
21:21:43.246393,3.153864,0.396484,2.000000
21:21:43.450282,3.153864,1.699219,2.000000
21:21:43.654589,3.147729,3.171875,2.000000
21:21:43.858462,3.117049,4.701172,2.000000
21:21:44.062365,3.110913,6.003906,2.000000
21:21:44.266291,3.147729,7.136719,2.000000
21:21:44.470675,3.166136,8.156250,2.000000
21:21:44.675230,3.160000,9.289062,2.000000
21:21:44.879104,3.123185,10.308594,2.000000
this is a test with speed 3
timestamp,angle(Radians),position(inches),speed(percentage)
21:21:56.181311,3.129321,-11.667969,3.000000
21:21:56.385221,3.135457,-11.667969,3.000000
21:21:56.588969,3.135457,-11.611328,3.000000
21:21:56.792985,3.147729,-11.328125,3.000000
21:21:56.997731,3.172272,-10.705078,3.000000
21:21:57.201605,3.166136,-9.515625,3.000000
21:21:57.405341,3.153864,-7.986328,3.000000
21:21:57.609332,3.129321,-6.400391,3.000000
21:21:57.813877,3.117049,-4.984375,3.000000
21:21:58.017821,3.141593,-3.455078,3.000000
21:21:58.221548,3.153864,-1.585938,3.000000
21:21:58.425285,3.153864,0.113281,3.000000
21:21:58.629381,3.141593,1.642578,3.000000
21:21:58.833311,3.141593,3.341797,3.000000
21:21:59.037050,3.123185,5.097656,3.000000
21:21:59.240776,3.123185,6.740234,3.000000
21:21:59.445332,3.147729,8.156250,3.000000
21:21:59.649453,3.153864,9.515625,3.000000
21:21:59.853174,3.141593,10.875000,3.000000
this is a test with speed 4
timestamp,angle(Radians),position(inches),speed(percentage)
21:22:10.551392,3.074097,-11.667969,4.000000
21:22:10.755403,3.166136,-11.611328,4.000000
21:22:10.959199,3.209088,-11.611328,4.000000
21:22:11.162979,3.141593,-11.611328,4.000000
21:22:11.367035,3.067962,-11.667969,4.000000
21:22:11.571220,3.092505,-11.667969,4.000000
21:22:11.775098,3.172272,-26.167969,4.000000
21:22:11.978903,3.190680,-26.111328,4.000000
21:22:12.182761,3.129321,-26.167969,4.000000
this is a test with speed 1
timestamp,angle(Radians),position(inches),speed(percentage)
21:24:03.238594,3.049554,-10.988281,1.000000
21:24:03.443363,3.319534,-11.384766,1.000000
21:24:03.647160,3.460661,-11.384766,1.000000
21:24:03.850915,3.252039,-11.328125,1.000000
21:24:04.055110,3.055690,-10.421875,1.000000
21:24:04.259089,3.147729,-8.439453,1.000000
21:24:04.462815,3.294991,-7.080078,1.000000
21:24:04.666720,3.294991,-6.287109,1.000000
21:24:04.871045,3.209088,-5.210938,1.000000
21:24:05.075400,3.166136,-3.738281,1.000000
21:24:05.279280,3.215224,-1.812500,1.000000
21:24:05.483051,3.270447,-0.056641,1.000000
21:24:05.687202,3.258175,1.472656,1.000000
21:24:05.891495,3.196816,3.171875,1.000000
21:24:06.095450,3.172272,5.154297,1.000000
21:24:06.299177,3.202952,6.853516,1.000000
21:24:06.503022,3.227496,7.986328,1.000000
21:24:06.707304,3.221360,8.779297,1.000000
21:24:06.911174,3.209088,9.515625,1.000000
21:24:07.115038,3.227496,10.535156,1.000000
this is a test with speed 2
timestamp,angle(Radians),position(inches),speed(percentage)
21:24:17.195756,3.288855,-26.621094,2.000000
21:24:17.400051,3.233632,-26.621094,2.000000
21:24:17.603796,3.160000,-26.564453,2.000000
21:24:17.807579,3.258175,-25.261719,2.000000
21:24:18.011603,3.313399,-23.505859,2.000000
21:24:18.216375,3.202952,-22.373047,2.000000
21:24:18.422944,3.086369,-21.523438,2.000000
21:24:18.627284,3.166136,-20.900391,2.000000
